title,genre,budget,runtime,year,month,revenue
Toy Story 3,Animation,200000000,103.0,2010,6,1066969703
Terminator Salvation,Action,200000000,115.0,2009,5,371353001
Furious 7,Action,190000000,137.0,2015,4,1506249360
World War Z,Action,200000000,116.0,2013,6,531865000
X-Men: Days of Future Past,Action,250000000,131.0,2014,5,747862775
Star Trek Into Darkness,Action,190000000,132.0,2013,5,467365246
Jack the Giant Slayer,Action,195000000,114.0,2013,2,197687603
The Great Gatsby,Drama,105000000,143.0,2013,5,351040419
Prince of Persia: The Sands of Time,Adventure,150000000,116.0,2010,5,335154643
Pacific Rim,Action,180000000,131.0,2013,7,407602906
Transformers: Dark of the Moon,Action,195000000,154.0,2011,6,1123746996
Indiana Jones and the Kingdom of the Crystal Skull,Adventure,185000000,122.0,2008,5,786636033
The Good Dinosaur,Adventure,175000000,93.0,2015,11,331926147
Brave,Animation,185000000,93.0,2012,6,538983207
Star Trek Beyond,Action,185000000,122.0,2016,7,343471816
WALL·E,Animation,180000000,98.0,2008,6,521311860
Rush Hour 3,Action,140000000,91.0,2007,8,258022233
2012,Action,200000000,158.0,2009,10,769653595
A Christmas Carol,Animation,200000000,96.0,2009,11,325233863
Jupiter Ascending,Science Fiction,176000003,124.0,2015,2,183987723
The Legend of Tarzan,Action,180000000,109.0,2016,6,356743061
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,180000000,143.0,2005,12,748806957
X-Men: Apocalypse,Science Fiction,178000000,144.0,2016,5,543934787
The Dark Knight,Drama,185000000,152.0,2008,7,1004558444
Up,Animation,175000000,96.0,2009,5,735099082
Monsters vs Aliens,Animation,175000000,94.0,2009,3,381509870
Iron Man,Action,140000000,126.0,2008,4,585174222
Hugo,Adventure,170000000,126.0,2011,11,185770160
Wild Wild West,Action,170000000,106.0,1999,6,222104681
The Mummy: Tomb of the Dragon Emperor,Adventure,145000000,112.0,2008,7,401128639
Suicide Squad,Action,175000000,123.0,2016,8,745000000
Evan Almighty,Fantasy,175000000,96.0,2007,6,173000000
Edge of Tomorrow,Action,178000000,113.0,2014,5,370541256
Waterworld,Adventure,175000000,135.0,1995,7,264218220
G.I. Joe: The Rise of Cobra,Adventure,175000000,118.0,2009,8,302469017
Inside Out,Drama,175000000,94.0,2015,6,857611174
The Jungle Book,,175000000,106.0,2016,4,966550600
Iron Man 2,Adventure,200000000,124.0,2010,4,623933331
Snow White and the Huntsman,Adventure,170000000,127.0,2012,5,396600000
Maleficent,Fantasy,180000000,97.0,2014,5,758539785
Dawn of the Planet of the Apes,Science Fiction,170000000,130.0,2014,6,710644566
The Lovers,Action,27000000,109.0,2015,2,0
47 Ronin,Drama,175000000,119.0,2013,12,150962475
Captain America: The Winter Soldier,Action,170000000,136.0,2014,3,714766572
Shrek Forever After,Comedy,165000000,93.0,2010,5,752600867
Tomorrowland,Adventure,190000000,130.0,2015,5,209154322
Big Hero 6,Adventure,165000000,102.0,2014,10,652105443
Wreck-It Ralph,,165000000,108.0,2012,11,471222889
The Polar Express,Adventure,165000000,100.0,2004,11,305875730
Independence Day: Resurgence,Action,165000000,120.0,2016,6,389681935
How to Train Your Dragon,Fantasy,165000000,98.0,2010,3,494878759
Terminator 3: Rise of the Machines,Action,200000000,109.0,2003,7,435000000
Guardians of the Galaxy,Action,170000000,121.0,2014,7,773328629
Interstellar,Adventure,165000000,169.0,2014,11,675120017
Inception,Action,160000000,148.0,2010,7,825532764
Shin Godzilla,Action,15000000,120.0,2016,7,77000000
The Hobbit: An Unexpected Journey,Adventure,250000000,169.0,2012,11,1021103568
The Fast and the Furious,Action,38000000,106.0,2001,6,207283925
The Curious Case of Benjamin Button,Fantasy,150000000,166.0,2008,11,333932083
X-Men: First Class,Action,160000000,132.0,2011,5,353624124
The Hunger Games: Mockingjay - Part 2,Action,160000000,137.0,2015,11,653428261
The Sorcerer's Apprentice,Fantasy,150000000,109.0,2010,7,215283742
Poseidon,Adventure,160000000,99.0,2006,5,181674817
Alice Through the Looking Glass,Fantasy,170000000,113.0,2016,5,299370084
Shrek the Third,Fantasy,160000000,93.0,2007,5,798958165
Warcraft,Action,160000000,123.0,2016,5,433677183
Terminator Genisys,Science Fiction,155000000,126.0,2015,6,440603537
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure,155000000,113.0,2010,8,415686217
Pearl Harbor,,140000000,183.0,2001,5,449220945
Transformers,Adventure,150000000,144.0,2007,6,709709780
Alexander,,155000000,175.0,2004,11,167298192
Harry Potter and the Order of the Phoenix,Adventure,150000000,138.0,2007,6,938212738
Harry Potter and the Goblet of Fire,Adventure,150000000,157.0,2005,11,895921036
Hancock,Fantasy,150000000,92.0,2008,7,624029371
I Am Legend,Drama,150000000,101.0,2007,12,585349010
Charlie and the Chocolate Factory,Adventure,150000000,115.0,2005,7,474968763
Ratatouille,Animation,150000000,111.0,2007,6,623722818
Batman Begins,Action,150000000,140.0,2005,6,374218673
Madagascar: Escape 2 Africa,,150000000,89.0,2008,10,603900354
Night at the Museum: Battle of the Smithsonian,Adventure,150000000,105.0,2009,5,413106170
X-Men Origins: Wolverine,Adventure,150000000,107.0,2009,4,373062864
The Matrix Revolutions,Adventure,150000000,129.0,2003,11,424988211
Frozen,Animation,150000000,102.0,2013,11,1274219009
The Matrix Reloaded,Adventure,150000000,138.0,2003,5,738599701
Thor: The Dark World,Action,170000000,112.0,2013,10,644571402
Mad Max: Fury Road,Action,150000000,120.0,2015,5,378858340
Angels & Demons,Thriller,150000000,138.0,2009,5,356613439
Thor,Adventure,150000000,115.0,2011,4,449326618
Bolt,Animation,150000000,98.0,2008,11,309979994
G-Force,Fantasy,150000000,88.0,2009,7,292817841
Wrath of the Titans,Adventure,150000000,99.0,2012,3,301000000
Dark Shadows,Comedy,150000000,113.0,2012,5,245527149
Mission: Impossible - Rogue Nation,Action,150000000,131.0,2015,7,682330139
The Wolfman,Drama,150000000,102.0,2010,2,0
Bee Movie,,150000000,91.0,2007,10,287594577
Kung Fu Panda 2,Animation,150000000,91.0,2011,5,665692281
The Last Airbender,Action,150000000,103.0,2010,6,318502923
Mission: Impossible III,Adventure,150000000,126.0,2006,5,397850012
White House Down,Action,150000000,131.0,2013,6,205366737
Mars Needs Moms,Adventure,150000000,88.0,2011,3,38992758
Flushed Away,Adventure,149000000,85.0,2006,10,64459316
Pan,Adventure,150000000,111.0,2015,9,128388320
Mr. Peabody & Sherman,Animation,145000000,92.0,2014,2,272912430
Troy,Adventure,175000000,163.0,2004,5,497409852
Madagascar 3: Europe's Most Wanted,Animation,145000000,93.0,2012,6,746921274
Die Another Day,Adventure,140000000,133.0,2002,11,431971116
Ghostbusters,Action,144000000,116.0,2016,7,229147509
Armageddon,Action,140000000,151.0,1998,7,553799566
Men in Black II,Action,140000000,88.0,2002,7,441818803
Beowulf,Adventure,70000000,115.0,2007,11,195735876
Kung Fu Panda 3,Action,145000000,95.0,2016,1,521170825
Mission: Impossible - Ghost Protocol,Action,145000000,133.0,2011,12,694713380
Rise of the Guardians,Fantasy,145000000,97.0,2012,11,306941670
Fun with Dick and Jane,Comedy,100000000,90.0,2005,12,202026112
The Last Samurai,Drama,140000000,154.0,2003,12,456758981
Exodus: Gods and Kings,Adventure,140000000,150.0,2014,12,268031828
Star Trek,Science Fiction,150000000,127.0,2009,5,385680446
Spider-Man,Fantasy,139000000,121.0,2002,5,821708551
How to Train Your Dragon 2,Fantasy,145000000,102.0,2014,6,609123048
Gods of Egypt,Fantasy,140000000,127.0,2016,2,150680864
Stealth,Action,135000000,121.0,2005,7,76932943
Watchmen,Action,130000000,163.0,2009,3,185258983
Lethal Weapon 4,Action,140000000,127.0,1998,7,285444603
Hulk,Drama,137000000,138.0,2003,6,245360480
G.I. Joe: Retaliation,Adventure,130000000,110.0,2013,3,371876278
Sahara,Action,130000000,124.0,2005,4,119269486
Final Fantasy: The Spirits Within,Adventure,137000000,106.0,2001,7,85131830
Captain America: The First Avenger,Action,140000000,124.0,2011,7,370569774
The World Is Not Enough,Adventure,135000000,128.0,1999,11,361832400
Master and Commander: The Far Side of the World,Adventure,150000000,138.0,2003,11,212011111
The Twilight Saga: Breaking Dawn - Part 2,Adventure,120000000,115.0,2012,11,829000000
Happy Feet Two,Animation,130000000,100.0,2011,11,150406466
The Incredible Hulk,Science Fiction,150000000,114.0,2008,6,163712074
The BFG,Adventure,140000000,120.0,2016,6,183345589
The Revenant,,135000000,156.0,2015,12,532950503
Turbo,Animation,135000000,96.0,2013,7,282570682
Rango,Animation,135000000,107.0,2011,3,245724603
Penguins of Madagascar,,132000000,92.0,2014,11,373552094
The Bourne Ultimatum,Action,70000000,115.0,2007,8,442824138
Kung Fu Panda,Adventure,130000000,90.0,2008,6,631744560
Ant-Man,Science Fiction,130000000,117.0,2015,7,519311965
The Hunger Games: Catching Fire,Adventure,130000000,146.0,2013,11,847423452
Home,Fantasy,135000000,94.0,2015,3,368871007
War of the Worlds,Adventure,132000000,116.0,2005,6,591739379
Bad Boys II,Adventure,130000000,147.0,2003,7,273339556
Puss in Boots,Action,130000000,90.0,2011,10,554987477
Salt,Action,110000000,100.0,2010,7,293329073
Noah,Drama,125000000,139.0,2014,3,362637473
The Adventures of Tintin,Adventure,130000000,107.0,2011,10,371940071
Harry Potter and the Prisoner of Azkaban,Adventure,130000000,141.0,2004,5,789804554
Australia,Drama,130000000,165.0,2008,11,49554002
After Earth,Science Fiction,130000000,100.0,2013,5,243843127
Dinosaur,Animation,127500000,82.0,2000,5,354248063
Night at the Museum: Secret of the Tomb,Adventure,127000000,97.0,2014,12,349424282
Megamind,Animation,130000000,95.0,2010,10,321887208
Harry Potter and the Philosopher's Stone,Adventure,125000000,152.0,2001,11,976475550
R.I.P.D.,Fantasy,130000000,96.0,2013,7,61648500
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure,140000000,143.0,2003,7,655011224
The Hunger Games: Mockingjay - Part 1,Science Fiction,125000000,123.0,2014,11,752100229
The Da Vinci Code,Thriller,125000000,149.0,2006,5,767820459
Rio 2,Animation,103000000,102.0,2014,3,500188435
X2,Adventure,110000000,133.0,2003,4,407711549
Fast Five,Action,125000000,130.0,2011,4,626137675
Sherlock Holmes: A Game of Shadows,Adventure,125000000,129.0,2011,11,334615000
Clash of the Titans,Adventure,125000000,106.0,2010,4,232713139
Total Recall,Action,65000000,113.0,1990,6,261317921
The 13th Warrior,Adventure,160000000,102.0,1999,8,61698899
The Bourne Legacy,Action,130000000,120.0,2012,8,276572938
Batman & Robin,Action,125000000,125.0,1997,6,238207122
How the Grinch Stole Christmas,,123000000,104.0,2000,11,345141403
The Day After Tomorrow,Action,125000000,124.0,2004,5,544272402
Mission: Impossible II,Adventure,125000000,123.0,2000,5,546388105
The Perfect Storm,Drama,120000000,130.0,2000,3,325756637
Fantastic 4: Rise of the Silver Surfer,Adventure,130000000,92.0,2007,6,289047763
Life of Pi,Adventure,120000000,127.0,2012,11,609016565
Ghost Rider,Thriller,110000000,114.0,2007,2,228738393
Jason Bourne,Action,120000000,123.0,2016,7,415484914
Charlie's Angels: Full Throttle,Action,120000000,106.0,2003,6,259175788
Prometheus,Science Fiction,130000000,124.0,2012,5,403170142
Stuart Little 2,,120000000,78.0,2002,7,169956806
Elysium,Science Fiction,115000000,109.0,2013,8,286140700
The Chronicles of Riddick,Action,105000000,119.0,2004,6,115772733
RoboCop,Action,120000000,102.0,2014,1,242688965
Speed Racer,Action,120000000,135.0,2008,5,93945766
How Do You Know,Comedy,120000000,121.0,2010,12,48668907
Knight and Day,Action,117000000,109.0,2010,6,261930431
Oblivion,Action,120000000,124.0,2013,4,286168572
Star Wars: Episode III - Revenge of the Sith,Science Fiction,113000000,140.0,2005,5,850000000
Star Wars: Episode II - Attack of the Clones,Adventure,120000000,142.0,2002,5,649398328
"Monsters, Inc.",Animation,115000000,92.0,2001,11,562816256
The Wolverine,Action,120000000,126.0,2013,7,415440673
Star Wars: Episode I - The Phantom Menace,Adventure,115000000,136.0,1999,5,924317558
The Croods,Adventure,135000000,98.0,2013,3,585178928
Asterix at the Olympic Games,Fantasy,97250400,116.0,2008,1,132900000
Windtalkers,Drama,115000000,134.0,2002,6,77628265
The Huntsman: Winter's War,Action,115000000,114.0,2016,4,164602163
Teenage Mutant Ninja Turtles,Science Fiction,125000000,101.0,2014,8,477200000
Gravity,Science Fiction,105000000,91.0,2013,9,716392705
Dante's Peak,Action,116000000,108.0,1997,2,178127760
Teenage Mutant Ninja Turtles: Out of the Shadows,Fantasy,135000000,112.0,2016,6,245623848
Fantastic Four,Action,120000000,100.0,2015,8,167977596
Night at the Museum,Action,110000000,108.0,2006,10,574480841
San Andreas,Action,110000000,114.0,2015,5,470490832
Tomorrow Never Dies,Adventure,110000000,119.0,1997,12,333011068
The Patriot,Drama,110000000,165.0,2000,6,215294342
Ocean's Twelve,Thriller,110000000,125.0,2004,12,362744280
Mr. & Mrs. Smith,Action,110000000,120.0,2005,6,478207520
Insurgent,Adventure,110000000,119.0,2015,3,295238201
The Aviator,Drama,116000000,170.0,2004,12,102000000
Gulliver's Travels,Comedy,112000000,85.0,2010,12,237382724
The Green Hornet,Action,120000000,119.0,2011,1,227817248
300: Rise of an Empire,Action,110000000,102.0,2014,3,337580051
The Smurfs,Animation,110000000,103.0,2011,7,563749323
Home on the Range,Animation,110000000,76.0,2004,4,103951461
Allegiant,Adventure,110000000,121.0,2016,3,179246868
Real Steel,Action,110000000,127.0,2011,9,299268508
The Smurfs 2,Fantasy,105000000,105.0,2013,7,347434178
Speed 2: Cruise Control,Action,160000000,121.0,1997,6,164508066
Ender's Game,Science Fiction,110000000,114.0,2013,10,125537191
Live Free or Die Hard,Action,110000000,128.0,2007,6,383531464
The Lord of the Rings: The Fellowship of the Ring,Adventure,93000000,178.0,2001,12,871368364
Around the World in 80 Days,Action,110000000,120.0,2004,6,72178895
Ali,Drama,107000000,157.0,2001,12,87713825
The Cat in the Hat,Comedy,0,82.0,2003,11,0
"I, Robot",Action,120000000,115.0,2004,7,347234916
Kingdom of Heaven,Drama,130000000,144.0,2005,5,211643158
Stuart Little,Animation,133000000,84.0,1999,12,300135367
The Princess and the Frog,Romance,105000000,97.0,2009,12,267045765
The Martian,Drama,108000000,141.0,2015,9,630161890
The Island,Action,126000000,136.0,2005,7,162949164
Town & Country,Comedy,90000000,104.0,2001,4,10372291
Gone in Sixty Seconds,Action,90000000,118.0,2000,6,237202299
Gladiator,Action,103000000,155.0,2000,5,457640427
Minority Report,Action,102000000,145.0,2002,6,358372926
Harry Potter and the Chamber of Secrets,Adventure,100000000,161.0,2002,11,876688482
Casino Royale,Adventure,150000000,144.0,2006,11,599045960
Planet of the Apes,Thriller,100000000,119.0,2001,7,362211740
Terminator 2: Judgment Day,Action,100000000,137.0,1991,7,520000000
Public Enemies,,80000000,140.0,2009,7,214104620
American Gangster,Drama,100000000,157.0,2007,11,266465037
True Lies,Action,115000000,141.0,1994,7,378882411
The Taking of Pelham 1 2 3,Thriller,100000000,106.0,2009,6,150166126
Little Fockers,Comedy,100000000,98.0,2010,12,310650585
The Other Guys,Action,100000000,107.0,2010,8,170432927
Eraser,Action,100000000,115.0,1996,6,242295562
Django Unchained,Drama,100000000,165.0,2012,12,425368238
The Hunchback of Notre Dame,Drama,100000000,91.0,1996,6,100138851
The Emperor's New Groove,Adventure,100000000,78.0,2000,12,169327687
The Expendables 2,Action,100000000,103.0,2012,8,312573423
National Treasure,Adventure,100000000,131.0,2004,11,347451894
Eragon,Fantasy,100000000,104.0,2006,12,249288105
Where the Wild Things Are,,100000000,101.0,2009,10,100086793
Epic,Animation,100000000,102.0,2013,5,268426634
The Tourist,Action,100000000,103.0,2010,12,278731369
End of Days,Action,100000000,121.0,1999,11,211989043
Blood Diamond,Drama,100000000,143.0,2006,12,170877916
The Wolf of Wall Street,Crime,100000000,180.0,2013,12,392000694
Batman Forever,Action,100000000,121.0,1995,5,336529144
Starship Troopers,Adventure,105000000,129.0,1997,11,121214377
Cloud Atlas,Drama,102000000,172.0,2012,10,130482868
Legend of the Guardians: The Owls of Ga'Hoole,Animation,80000000,97.0,2010,7,140073390
Catwoman,Action,100000000,104.0,2004,7,82102379
Hercules,Action,100000000,99.0,2014,7,243400000
Treasure Planet,Adventure,140000000,95.0,2002,11,109578115
Land of the Lost,Adventure,100000000,102.0,2009,6,68688831
The Expendables 3,Action,90000000,127.0,2014,8,206172544
Point Break,Action,105000000,114.0,2015,12,133718711
Son of the Mask,Fantasy,84000000,94.0,2005,2,0
In the Heart of the Sea,Thriller,100000000,122.0,2015,11,93820758
The Adventures of Pluto Nash,Action,100000000,95.0,2002,8,7103973
Green Zone,,100000000,115.0,2010,3,94882889
The Peanuts Movie,Animation,99000000,88.0,2015,11,246233113
The Spanish Prisoner,Crime,10000000,110.0,1997,9,13835130
The Mummy Returns,Adventure,98000000,130.0,2001,4,433013274
Gangs of New York,Drama,100000000,167.0,2002,12,193772504
The Flowers of War,Drama,94000000,145.0,2011,12,95311434
Surf's Up,Animation,85000000,85.0,2007,6,149044513
The Stepford Wives,Action,90000000,93.0,2004,6,102000000
Black Hawk Down,Action,92000000,144.0,2001,12,172989651
The Campaign,Comedy,0,85.0,2012,8,104907746
The Fifth Element,Adventure,90000000,126.0,1997,5,263920180
Sex and the City 2,Comedy,100000000,146.0,2010,5,288347692
The Road to El Dorado,Adventure,95000000,89.0,2000,3,76432727
Ice Age: Continental Drift,Animation,95000000,88.0,2012,6,877244782
Cinderella,Romance,95000000,105.0,2015,3,543514353
The Lovely Bones,Fantasy,65000000,136.0,2009,12,93525586
Finding Nemo,Animation,94000000,100.0,2003,5,940335536
The Lord of the Rings: The Return of the King,Adventure,94000000,201.0,2003,12,1118888979
The Lord of the Rings: The Two Towers,Adventure,79000000,179.0,2002,12,926287400
Seventh Son,Adventure,95000000,102.0,2014,12,114178613
Lara Croft: Tomb Raider,Adventure,115000000,100.0,2001,6,274703340
Transcendence,Thriller,100000000,119.0,2014,4,103039258
Jurassic Park III,Adventure,93000000,92.0,2001,7,368780809
Rise of the Planet of the Apes,Thriller,93000000,105.0,2011,8,482860185
The Spiderwick Chronicles,Adventure,90000000,95.0,2008,2,162839667
A Good Day to Die Hard,Action,92000000,98.0,2013,2,304654182
The Alamo,,145000000,137.0,2004,4,25819961
The Incredibles,Action,92000000,115.0,2004,11,631442092
Cutthroat Island,Action,98000000,119.0,1995,12,10017322
Percy Jackson & the Olympians: The Lightning Thief,Adventure,95000000,118.0,2010,2,226497209
Men in Black,Action,90000000,98.0,1997,7,589390539
Toy Story 2,Animation,90000000,92.0,1999,10,497366869
Unstoppable,Action,100000000,98.0,2010,11,167805466
Rush Hour 2,Action,90000000,90.0,2001,8,347325802
What Lies Beneath,Drama,100000000,130.0,2000,7,155464351
Cloudy with a Chance of Meatballs,Animation,100000000,90.0,2009,9,242988466
Ice Age: Dawn of the Dinosaurs,Animation,90000000,94.0,2009,6,886686817
The Secret Life of Walter Mitty,Adventure,90000000,114.0,2013,12,188133322
Charlie's Angels,Action,92000000,98.0,2000,11,264105545
The Departed,Drama,90000000,151.0,2006,10,289847354
Mulan,Animation,90000000,88.0,1998,6,304320254
Tropic Thunder,Action,92000000,107.0,2008,8,188072649
The Girl with the Dragon Tattoo,Thriller,90000000,158.0,2011,12,232617430
Die Hard: With a Vengeance,Action,90000000,128.0,1995,5,366101666
Sherlock Holmes,Action,90000000,128.0,2009,12,524028679
Ben-Hur,Drama,100000000,125.0,2016,8,94061311
Atlantis: The Lost Empire,Animation,120000000,95.0,2001,6,186053725
Alvin and the Chipmunks: The Road Chip,Adventure,0,92.0,2015,12,233755553
Valkyrie,Drama,75000000,121.0,2008,12,200276000
You Don't Mess with the Zohan,Comedy,90000000,113.0,2008,6,201596308
Pixels,Action,88000000,105.0,2015,7,243637091
A.I. Artificial Intelligence,Drama,100000000,146.0,2001,6,235926552
The Haunted Mansion,Thriller,90000000,99.0,2003,11,182290266
Contact,Drama,90000000,150.0,1997,7,171120329
Hollow Man,Action,95000000,112.0,2000,8,190213455
The Interpreter,Crime,80000000,128.0,2005,4,162944923
Percy Jackson: Sea of Monsters,Adventure,90000000,106.0,2013,8,174578751
Lara Croft Tomb Raider: The Cradle of Life,Action,95000000,117.0,2003,7,156505388
Now You See Me 2,Action,90000000,129.0,2016,6,334901337
The Saint,Thriller,68000000,116.0,1997,4,118063304
Spy Game,Action,92000000,126.0,2001,11,143049560
Mission to Mars,Science Fiction,90000000,114.0,2000,3,60874615
Rio,Animation,90000000,96.0,2011,4,484635760
Bicentennial Man,Comedy,100000000,131.0,1999,12,93700000
Volcano,Science Fiction,90000000,104.0,1997,4,0
The Devil's Own,Crime,90000000,107.0,1997,3,140807547
K-19: The Widowmaker,Drama,100000000,138.0,2002,7,35168966
Conan the Barbarian,Adventure,20000000,129.0,1982,4,79114085
Cinderella Man,Romance,88000000,144.0,2005,6,108539911
The Nutcracker: The Untold Story,Fantasy,90000000,110.0,2010,11,16178959
Seabiscuit,Drama,87000000,141.0,2003,7,148336445
Twister,Action,92000000,113.0,1996,5,494471524
Cast Away,Adventure,90000000,143.0,2000,12,429632142
Happy Feet,Animation,100000000,108.0,2006,11,384335608
The Bourne Supremacy,Action,75000000,108.0,2004,7,288500217
Air Force One,Action,85000000,124.0,1997,7,315156409
Ocean's Eleven,Thriller,85000000,116.0,2001,12,450717150
The Three Musketeers,Adventure,75000000,110.0,2011,8,132274484
Hotel Transylvania,Animation,85000000,91.0,2012,9,358375603
Enchanted,Comedy,85000000,107.0,2007,11,340487652
Safe House,Action,85000000,115.0,2012,2,208076205
102 Dalmatians,Comedy,85000000,100.0,2000,10,183611771
Tower Heist,Action,75000000,104.0,2011,11,152930623
The Holiday,Comedy,85000000,136.0,2006,12,194168700
Enemy of the State,Action,90000000,132.0,1998,11,250649836
It's Complicated,Comedy,85000000,121.0,2009,12,219103655
Ocean's Thirteen,Crime,85000000,122.0,2007,6,311312624
Open Season,Adventure,85000000,83.0,2006,9,197309027
Divergent,Adventure,85000000,139.0,2014,3,288747895
Enemy at the Gates,,68000000,131.0,2001,3,96976270
The Rundown,Adventure,85000000,104.0,2003,9,80916492
Last Action Hero,Adventure,85000000,130.0,1993,6,137298489
Memoirs of a Geisha,Drama,85000000,145.0,2005,12,162242962
The Fast and the Furious: Tokyo Drift,Action,85000000,104.0,2006,6,158468292
Arthur Christmas,Drama,0,97.0,2011,2,0
Meet Joe Black,Fantasy,90000000,178.0,1998,11,142940100
Collateral Damage,Action,85000000,108.0,2002,2,78382433
All That Jazz,Drama,0,123.0,1979,12,37823676
Mirror Mirror,Adventure,85000000,106.0,2012,3,183018522
Scott Pilgrim vs. the World,Action,60000000,112.0,2010,7,47664559
The Core,Action,60000000,136.0,2003,3,74208267
Nutty Professor II: The Klumps,Fantasy,84000000,106.0,2000,7,123307945
Scooby-Doo,,84000000,88.0,2002,6,275650703
Dredd,Action,50000000,95.0,2012,9,41037742
Click,Comedy,82500000,107.0,2006,6,237681299
Creepshow,Horror,8000000,120.0,1982,11,21028755
Cats & Dogs 2 : The Revenge of Kitty Galore,Comedy,85000000,82.0,2010,7,112483764
Jumper,Adventure,85000000,88.0,2008,2,222231186
Hellboy II: The Golden Army,Adventure,85000000,120.0,2008,7,160388063
Zodiac,Crime,65000000,157.0,2007,3,84785914
The 6th Day,Science Fiction,82000000,123.0,2000,11,96085477
Bruce Almighty,Fantasy,80000000,101.0,2003,5,484572835
The Expendables,Thriller,80000000,103.0,2010,8,274470394
Mission: Impossible,Adventure,80000000,110.0,1996,5,457696359
The Hunger Games,Science Fiction,75000000,142.0,2012,3,691210692
The Hangover Part II,Comedy,80000000,102.0,2011,5,254455986
Batman Returns,Action,80000000,126.0,1992,6,280000000
Over the Hedge,Comedy,80000000,83.0,2006,4,343397247
Lilo & Stitch,Animation,80000000,85.0,2002,6,145771527
Charlotte's Web,Comedy,85000000,97.0,2006,12,144000000
Deep Impact,Action,75000000,120.0,1998,5,140464664
RED 2,Action,84000000,116.0,2013,7,0
The Longest Yard,Comedy,82000000,113.0,2005,5,190320568
Alvin and the Chipmunks: Chipwrecked,Comedy,75000000,87.0,2011,12,342695435
Grown Ups 2,Comedy,80000000,100.0,2013,7,246984278
Get Smart,Action,80000000,110.0,2008,6,230685453
Something's Gotta Give,Drama,80000000,128.0,2003,12,266728738
Shutter Island,Drama,80000000,138.0,2010,2,294804195
Four Christmases,Comedy,80000000,88.0,2008,11,163733697
Robots,Animation,75000000,91.0,2005,3,260696994
Face/Off,Action,80000000,138.0,1997,6,245676146
Bedtime Stories,Fantasy,80000000,99.0,2008,12,212874442
Road to Perdition,Thriller,80000000,117.0,2002,7,181001478
Just Go with It,Romance,80000000,117.0,2011,2,214918407
Con Air,Action,75000000,115.0,1997,6,224012234
Eagle Eye,,80000000,118.0,2008,9,178066569
Cold Mountain,Drama,79000000,154.0,2003,12,173013509
The Book of Eli,Action,80000000,118.0,2010,1,157107755
Flubber,Comedy,80000000,93.0,1997,11,177977226
The Haunting,Horror,80000000,113.0,1999,7,91188905
