InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536409,22664,TOY TIDY DOLLY GIRL DESIGN,1,12/1/2010 11:45,2.1,17908.0,United Kingdom
541508,22364,GLASS JAR DIGESTIVE BISCUITS,1,1/18/2011 16:06,5.79,,United Kingdom
581098,85014B,RED RETROSPOT UMBRELLA,6,12/7/2011 11:42,5.95,14911.0,EIRE
546784,22752,SET 7 BABUSHKA NESTING BOXES,2,3/17/2011 9:49,8.5,18189.0,United Kingdom
581425,23178,JAM CLOCK MAGNET,1,12/8/2011 15:31,1.25,14796.0,United Kingdom
575952,21327,SKULLS WRITING SET ,2,11/13/2011 11:55,1.65,16015.0,United Kingdom
543108,82482,WOODEN PICTURE FRAME WHITE FINISH,3,2/3/2011 12:37,2.55,14085.0,United Kingdom
562104,22068,BLACK PIRATE TREASURE CHEST,1,8/2/2011 14:31,4.13,,United Kingdom
571212,47591D,PINK FAIRY CAKE CHILDRENS APRON,2,10/14/2011 12:53,1.95,12856.0,United Kingdom
570442,22844,VINTAGE CREAM DOG FOOD CONTAINER,1,10/10/2011 14:37,8.5,16549.0,United Kingdom
576220,22816,CARD MOTORBIKE SANTA,72,11/14/2011 13:00,0.36,15838.0,United Kingdom
544409,85093,CANDY SPOT EGG WARMER HARE,12,2/18/2011 13:32,1.25,16265.0,United Kingdom
558355,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,4,6/28/2011 14:58,0.55,13614.0,United Kingdom
C543050,22242,5 HOOK HANGER MAGIC TOADSTOOL,-24,2/3/2011 10:14,1.65,12625.0,Germany
574694,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,6,11/6/2011 13:36,4.95,12381.0,Norway
572069,20668,DISCO BALL CHRISTMAS DECORATION,24,10/20/2011 13:24,0.12,14911.0,EIRE
560772,22421,LIPSTICK PEN FUSCHIA,1,7/20/2011 16:12,0.83,,United Kingdom
578817,20682,RED RETROSPOT CHILDRENS UMBRELLA,1,11/25/2011 13:45,3.25,16764.0,United Kingdom
547042,21898,POTTING SHED ROSE CANDLE,1,3/20/2011 11:00,2.46,,United Kingdom
576665,22941,CHRISTMAS LIGHTS 10 REINDEER,3,11/16/2011 11:46,8.5,17841.0,United Kingdom
550638,22697,GREEN REGENCY TEACUP AND SAUCER,1,4/19/2011 15:44,5.79,,United Kingdom
552078,22386,JUMBO BAG PINK POLKADOT,20,5/6/2011 11:26,2.08,16748.0,United Kingdom
581238,23311,VINTAGE CHRISTMAS STOCKING ,3,12/8/2011 10:53,4.96,,United Kingdom
548163,21061,PARTY INVITES FOOTBALL,1,3/29/2011 13:43,1.63,,United Kingdom
548196,82011A,"BATHROOM SCALES, TROPICAL BEACH",1,3/29/2011 15:44,3.75,16011.0,United Kingdom
577550,21889,WOODEN BOX OF DOMINOES,12,11/20/2011 15:05,1.25,17738.0,United Kingdom
568721,22581,WOOD STOCKING CHRISTMAS SCANDISPOT,2,9/28/2011 16:24,0.83,,United Kingdom
579187,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,2,11/28/2011 15:31,2.08,,United Kingdom
578045,22920,HERB MARKER BASIL,1,11/22/2011 14:43,0.65,17297.0,United Kingdom
541848,21791,VINTAGE HEADS AND TAILS CARD GAME ,2,1/23/2011 13:31,1.25,17611.0,United Kingdom
541695,85125,SMALL ROUND CUT GLASS CANDLESTICK,2,1/20/2011 18:01,3.29,,United Kingdom
548269,22036,,-45,3/30/2011 11:35,0.0,,United Kingdom
575215,23407,SET OF 2 TRAYS HOME SWEET HOME,1,11/9/2011 11:04,9.95,18109.0,United Kingdom
580610,85127,SMALL SQUARE CUT GLASS CANDLESTICK,1,12/5/2011 11:48,9.96,,United Kingdom
572211,21824,PAINTED METAL STAR WITH HOLLY BELLS,24,10/21/2011 12:25,0.39,13429.0,United Kingdom
551174,15058B,PINK POLKADOT GARDEN PARASOL,6,4/26/2011 17:02,7.95,,United Kingdom
564316,23287,RED VINTAGE SPOT BEAKER,8,8/24/2011 13:11,0.85,13985.0,United Kingdom
566602,82494L,WOODEN FRAME ANTIQUE WHITE ,5,9/13/2011 16:05,4.13,,United Kingdom
548289,16169M,WRAP DAISY CARPET ,25,3/30/2011 11:48,0.42,13988.0,United Kingdom
569229,23096,PETIT TRAY CHIC,2,10/2/2011 14:56,1.65,14502.0,United Kingdom
547568,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,2,3/24/2011 9:50,9.95,13341.0,United Kingdom
578233,22991,GIRAFFE WOODEN RULER,6,11/23/2011 12:20,1.95,14049.0,United Kingdom
546784,22927,GREEN GIANT GARDEN THERMOMETER,2,3/17/2011 9:49,5.95,18189.0,United Kingdom
544673,21071,VINTAGE BILLBOARD DRINK ME MUG,1,2/22/2011 15:46,1.25,13421.0,United Kingdom
556942,16161P,WRAP ENGLISH ROSE ,25,6/15/2011 16:42,0.42,14222.0,United Kingdom
538397,22244,3 HOOK HANGER MAGIC GARDEN,36,12/12/2010 11:44,1.95,12753.0,Japan
574319,85036C,ROSE 1 WICK MORRIS BOXED CANDLE,180,11/3/2011 19:15,1.0,15482.0,United Kingdom
545188,22691,DOORMAT WELCOME SUNRISE,1,2/28/2011 15:19,7.95,14056.0,United Kingdom
559148,21868,POTTING SHED TEA MUG,24,7/6/2011 14:41,1.25,12450.0,Spain
539744,22300,COFFEE MUG DOG + BALL DESIGN,6,12/21/2010 15:21,5.06,,United Kingdom
566076,23236,STORAGE TIN VINTAGE DOILY ,6,9/9/2011 9:13,2.89,12449.0,Belgium
542900,22426,ENAMEL WASH BOWL CREAM,4,2/1/2011 14:24,3.75,14180.0,United Kingdom
580983,22717,CARD DOG AND BALL ,1,12/6/2011 16:26,0.83,,United Kingdom
536592,85136A,YELLOW SHARK HELICOPTER,2,12/1/2010 17:06,8.47,,United Kingdom
575603,85039A,SET/4 RED MINI ROSE CANDLE IN BOWL,4,11/10/2011 12:29,1.65,18125.0,United Kingdom
568140,22460,EMBOSSED GLASS TEALIGHT HOLDER,12,9/25/2011 10:48,1.25,17411.0,United Kingdom
537334,21042,RED RETROSPOT APRON ,2,12/6/2010 12:06,5.95,16719.0,United Kingdom
557112,23181,BULL DOG BOTTLE TOP WALL CLOCK,1,6/16/2011 16:31,16.63,,United Kingdom
575607,22066,LOVE HEART TRINKET POT,1,11/10/2011 12:37,3.29,14096.0,United Kingdom
570637,23298,SPOTTY BUNTING,6,10/11/2011 12:34,4.95,12530.0,Germany
564483,22613,PACK OF 20 SPACEBOY NAPKINS,12,8/25/2011 13:46,0.85,14050.0,United Kingdom
558116,21931,JUMBO STORAGE BAG SUKI,4,6/27/2011 9:11,4.13,,United Kingdom
542192,84218,BOX/12 CHICK & EGG IN BASKET,1,1/26/2011 11:27,1.95,14049.0,United Kingdom
554993,22457,NATURAL SLATE HEART CHALKBOARD ,3,5/29/2011 14:13,2.95,17051.0,United Kingdom
550188,23008,DOLLY GIRL BABY GIFT SET,3,4/14/2011 18:57,16.95,12457.0,Switzerland
563638,22410,MONEY BOX HOUSEKEEPING DESIGN,1,8/18/2011 10:36,1.25,15311.0,United Kingdom
576175,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,96,11/14/2011 11:02,0.29,15291.0,United Kingdom
551775,22989,SET 2 PANTRY DESIGN TEA TOWELS,6,5/4/2011 11:21,2.95,12886.0,United Kingdom
571107,84832,ZINC WILLIE WINKIE  CANDLE STICK,12,10/13/2011 16:17,0.85,13858.0,United Kingdom
541497,21773,DECORATIVE ROSE BATHROOM BOTTLE,7,1/18/2011 15:19,1.25,,United Kingdom
574659,22470,HEART OF WICKER LARGE,2,11/6/2011 11:44,2.95,16942.0,United Kingdom
560245,22992,REVOLVER WOODEN RULER ,2,7/17/2011 12:15,1.95,,Switzerland
549524,20654,FIRST CLASS LUGGAGE TAG ,2,4/8/2011 15:42,2.46,,United Kingdom
578818,23157,SET OF 6 NATIVITY MAGNETS ,12,11/25/2011 13:47,2.08,17920.0,United Kingdom
560926,22329,ROUND CONTAINER SET OF 5 RETROSPOT,8,7/22/2011 9:20,1.63,,United Kingdom
572499,23556,LANDMARK FRAME COVENT GARDEN ,3,10/24/2011 14:10,12.5,15786.0,United Kingdom
554090,84950,ASSORTED COLOUR T-LIGHT HOLDER,36,5/22/2011 12:22,0.65,17315.0,United Kingdom
569133,20974,12 PENCILS SMALL TUBE SKULL,24,9/30/2011 14:06,0.65,15185.0,United Kingdom
549155,21454,PAINTED PINK RABBIT ,6,4/6/2011 17:08,0.83,,United Kingdom
537225,20774,GREEN FERN NOTEBOOK,2,12/5/2010 16:41,1.65,12748.0,United Kingdom
568949,22075,6 RIBBONS ELEGANT CHRISTMAS ,1,9/29/2011 15:13,1.63,,United Kingdom
557328,23285,PINK VINTAGE SPOT BEAKER,1,6/20/2011 9:53,0.85,14646.0,Netherlands
569367,22294,HEART FILIGREE DOVE  SMALL,24,10/3/2011 15:28,1.25,13994.0,United Kingdom
573340,22998,TRAVEL CARD WALLET KEEP CALM,6,10/30/2011 11:55,0.42,14159.0,United Kingdom
546122,82552,WASHROOM METAL SIGN,1,3/9/2011 14:32,1.45,15581.0,United Kingdom
549906,22845,VINTAGE CREAM CAT FOOD CONTAINER,1,4/12/2011 16:28,6.35,14998.0,United Kingdom
581021,22389,PAPERWEIGHT SAVE THE PLANET,12,12/7/2011 10:24,0.39,14769.0,United Kingdom
541695,21977,PACK OF 60 PINK PAISLEY CAKE CASES,1,1/20/2011 18:01,1.25,,United Kingdom
547547,22493,PAINT YOUR OWN CANVAS SET,2,3/23/2011 15:30,3.29,,United Kingdom
538951,22348,TEA BAG PLATE RED RETROSPOT,1,12/15/2010 11:26,0.85,16782.0,United Kingdom
549317,22800,ANTIQUE TALL SWIRLGLASS TRINKET POT,4,4/8/2011 9:58,3.75,15109.0,United Kingdom
558864,22961,JAM MAKING SET PRINTED,12,7/4/2011 12:38,1.45,,EIRE
571508,82581,TOILET METAL SIGN,1,10/17/2011 15:27,1.25,,United Kingdom
566580,23320,GIANT 50'S CHRISTMAS CRACKER,12,9/13/2011 13:46,2.89,12822.0,United Kingdom
566193,23295,SET OF 12 MINI LOAF BAKING CASES,16,9/9/2011 13:37,0.83,14961.0,United Kingdom
536529,22627,MINT KITCHEN SCALES,2,12/1/2010 13:20,8.5,14237.0,United Kingdom
564375,22718,CARD CAT AND TREE ,12,8/25/2011 10:16,0.42,13078.0,United Kingdom
544447,22285,HANGING HEN ON NEST DECORATION,5,2/20/2011 11:39,1.65,16466.0,United Kingdom
576644,22361,GLASS JAR DAISY FRESH COTTON WOOL,1,11/16/2011 10:01,5.79,,United Kingdom
566929,22622,BOX OF VINTAGE ALPHABET BLOCKS,12,9/15/2011 15:21,9.95,17428.0,United Kingdom
561288,20725,LUNCH BAG RED RETROSPOT,10,7/26/2011 12:26,1.65,13379.0,United Kingdom
576665,85038,6 CHOCOLATE LOVE HEART T-LIGHTS,1,11/16/2011 11:46,2.1,17841.0,United Kingdom
556731,21175,GIN + TONIC DIET METAL SIGN,3,6/14/2011 11:41,2.55,18283.0,United Kingdom
568949,23519,EMBROIDERED RIBBON REEL CLAIRE,1,9/29/2011 15:13,7.46,,United Kingdom
C548503,22071,SMALL WHITE RETROSPOT MUG IN BOX ,-2,3/31/2011 14:23,3.75,14410.0,United Kingdom
546927,22972,CHILDREN'S SPACEBOY MUG,24,3/18/2011 10:15,1.65,16672.0,United Kingdom
546389,21908,CHOCOLATE THIS WAY METAL SIGN,12,3/11/2011 13:56,2.1,16801.0,United Kingdom
569302,22384,LUNCH BAG PINK POLKADOT,4,10/3/2011 12:04,1.65,16205.0,United Kingdom
565835,22846,BREAD BIN DINER STYLE RED ,1,9/7/2011 11:32,16.95,14452.0,United Kingdom
567667,23407,SET OF 2 TRAYS HOME SWEET HOME,1,9/21/2011 15:24,16.63,,United Kingdom
567911,84078A,SET/4 WHITE RETRO STORAGE CUBES ,1,9/22/2011 17:00,39.95,14854.0,United Kingdom
540405,22499,WOODEN UNION JACK BUNTING,48,1/7/2011 9:50,4.95,14828.0,United Kingdom
545692,20754,RETROSPOT RED WASHING UP GLOVES,6,3/6/2011 12:58,2.1,17428.0,United Kingdom
571187,23240,SET OF 4 KNICK KNACK TINS DOILY ,6,10/14/2011 11:39,4.15,12380.0,Belgium
573315,16248B,BLUE HOLE PUNCH,1,10/28/2011 17:27,1.25,17839.0,United Kingdom
545895,21143,ANTIQUE GLASS HEART DECORATION ,1,3/7/2011 17:14,4.13,,United Kingdom
558687,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,7/1/2011 11:43,1.65,12598.0,France
557888,22766,PHOTO FRAME CORNICE,1,6/23/2011 13:51,2.95,14656.0,United Kingdom
547788,20725,LUNCH BAG RED RETROSPOT,1,3/25/2011 12:00,4.13,,United Kingdom
559503,21763,,1,7/8/2011 15:06,0.0,,United Kingdom
543519,20674,GREEN POLKADOT BOWL,12,2/9/2011 11:38,1.25,17083.0,United Kingdom
577034,20996,JAZZ HEARTS ADDRESS BOOK,24,11/17/2011 13:16,0.19,12847.0,United Kingdom
574714,21222,SET/4 BADGES BEETLES,2,11/6/2011 14:29,1.25,15427.0,United Kingdom
578344,22041,"RECORD FRAME 7"" SINGLE SIZE ",3,11/24/2011 9:21,4.96,,United Kingdom
581131,23583,LUNCH BAG PAISLEY PARK  ,10,12/7/2011 12:51,1.65,16393.0,United Kingdom
538852,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,1,12/14/2010 13:33,2.95,17372.0,United Kingdom
575504,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,11/10/2011 10:29,4.95,14895.0,United Kingdom
563699,21121,SET/10 RED POLKADOT PARTY CANDLES,24,8/18/2011 13:47,1.25,13381.0,United Kingdom
581219,85227,SET OF 6 3D KIT CARDS FOR KIDS,1,12/8/2011 9:28,1.63,,United Kingdom
540458,20727,LUNCH BAG  BLACK SKULL.,10,1/7/2011 12:28,1.65,12501.0,Germany
570488,22662,LUNCH BAG DOLLY GIRL DESIGN,1,10/10/2011 17:12,4.13,14096.0,United Kingdom
563246,22984,CARD GINGHAM ROSE ,12,8/15/2011 10:57,0.42,13089.0,United Kingdom
575177,22123,PING MICROWAVE APRON,3,11/8/2011 18:41,4.13,,United Kingdom
566291,72133,COLUMBIAN CANDLE RECTANGLE,2,9/11/2011 15:31,1.25,12965.0,United Kingdom
540316,84375,SET OF 20 KIDS COOKIE CUTTERS,12,1/6/2011 13:00,2.1,16676.0,United Kingdom
565919,72598,SET/12 TAPER CANDLES,1,9/7/2011 16:48,1.63,,United Kingdom
C580989,22331,WOODLAND PARTY BAG + STICKER SET,-1,12/6/2011 16:42,1.65,12709.0,Germany
549425,37500,TEA TIME TEAPOT IN GIFT BOX,3,4/8/2011 11:54,4.95,14030.0,United Kingdom
560225,21915,RED  HARMONICA IN BOX ,1,7/15/2011 16:27,2.46,,United Kingdom
564757,22355,CHARLOTTE BAG SUKI DESIGN,2,8/30/2011 10:36,1.63,,United Kingdom
581122,82494L,WOODEN FRAME ANTIQUE WHITE ,12,12/7/2011 12:33,2.95,12839.0,United Kingdom
567666,23287,RED VINTAGE SPOT BEAKER,8,9/21/2011 15:23,0.85,12520.0,Germany
556733,21164,HOME SWEET HOME METAL SIGN ,2,6/14/2011 11:53,2.95,16919.0,United Kingdom
564324,82483,WOOD 2 DRAWER CABINET WHITE FINISH,16,8/24/2011 13:26,5.95,13694.0,United Kingdom
563746,22386,JUMBO BAG PINK POLKADOT,10,8/19/2011 10:05,2.08,14745.0,United Kingdom
C548487,22637,PIGGY BANK RETROSPOT ,-8,3/31/2011 12:57,2.55,14952.0,United Kingdom
570448,23147,SINGLE ANTIQUE ROSE HOOK IVORY,6,10/10/2011 14:55,1.45,13224.0,United Kingdom
567426,23089,GLASS BON BON JAR,12,9/20/2011 11:33,1.95,13767.0,United Kingdom
548358,22195,LARGE HEART MEASURING SPOONS,12,3/30/2011 15:29,1.65,15832.0,United Kingdom
571352,22622,BOX OF VINTAGE ALPHABET BLOCKS,6,10/17/2011 11:49,11.95,18042.0,United Kingdom
560723,23224,CHERUB HEART DECORATION GOLD,7,7/20/2011 13:53,0.83,16464.0,United Kingdom
539294,17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,1,12/16/2010 16:45,2.1,15532.0,United Kingdom
543539,21155,RED RETROSPOT PEG BAG,2,2/9/2011 14:18,2.55,17757.0,United Kingdom
578931,23147,SINGLE ANTIQUE ROSE HOOK IVORY,4,11/27/2011 12:40,1.45,16942.0,United Kingdom
574298,22595,GINGHAM HEART DECORATION,1,11/3/2011 15:56,1.63,,United Kingdom
536401,20725,LUNCH BAG RED RETROSPOT,1,12/1/2010 11:21,1.65,15862.0,United Kingdom
569700,22960,JAM MAKING SET WITH JARS,3,10/5/2011 15:56,8.29,,United Kingdom
578827,22781,GUMBALL MAGAZINE RACK,1,11/25/2011 14:25,14.96,,United Kingdom
581411,16016,LARGE CHINESE STYLE SCISSOR,10,12/8/2011 14:15,0.85,17554.0,United Kingdom
539030,35961,FOLKART ZINC HEART CHRISTMAS DEC,48,12/15/2010 14:25,0.85,13089.0,United Kingdom
554993,20718,RED RETROSPOT SHOPPER BAG,5,5/29/2011 14:13,1.25,17051.0,United Kingdom
546850,22951,60 CAKE CASES DOLLY GIRL DESIGN,2,3/17/2011 13:20,0.55,13268.0,United Kingdom
542408,22566,FELTCRAFT HAIRBAND PINK AND PURPLE,12,1/27/2011 16:29,0.85,13280.0,United Kingdom
555383,21426,WOODLAND STORAGE BOX SMALL,2,6/2/2011 15:13,2.1,12517.0,Germany
540506,22626,BLACK KITCHEN SCALES,1,1/9/2011 11:12,8.5,17796.0,United Kingdom
574950,20750,RED RETROSPOT MINI CASES,1,11/8/2011 9:29,16.63,,United Kingdom
573195,22236,CAKE STAND 3 TIER MAGIC GARDEN,4,10/28/2011 11:40,12.75,12432.0,Norway
580875,22124,SET OF 2 TEA TOWELS PING MICROWAVE,12,12/6/2011 12:11,0.79,17744.0,United Kingdom
575192,23570,TRADITIONAL PICK UP STICKS GAME ,36,11/9/2011 9:32,1.25,16205.0,United Kingdom
580757,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,12/6/2011 10:27,4.25,13709.0,United Kingdom
575748,84997d,CHILDRENS CUTLERY POLKADOT PINK,5,11/11/2011 10:21,8.29,,United Kingdom
573405,22489,PACK OF 12 TRADITIONAL CRAYONS,3,10/30/2011 15:55,0.42,13822.0,United Kingdom
580612,22297,HEART IVORY TRELLIS SMALL,1,12/5/2011 11:58,2.46,,United Kingdom
572499,23492,VINTAGE JINGLE BELLS WREATH,2,10/24/2011 14:10,8.25,15786.0,United Kingdom
560882,21326,AGED GLASS SILVER T-LIGHT HOLDER,12,7/21/2011 15:47,0.65,17213.0,United Kingdom
568095,90072,RUBY DROP CHANDELIER EARRINGS,6,9/23/2011 14:49,3.75,14911.0,EIRE
570983,20751,FUNKY WASHING UP GLOVES ASSORTED,1,10/13/2011 11:57,2.1,14963.0,United Kingdom
557311,23159,SET OF 5 PANCAKE DAY MAGNETS,3,6/19/2011 15:36,2.08,15700.0,United Kingdom
578944,84991,60 TEATIME FAIRY CAKE CASES,1,11/27/2011 13:41,0.55,16005.0,United Kingdom
544459,22405,MONEY BOX POCKET MONEY DESIGN,12,2/20/2011 13:52,1.25,17838.0,United Kingdom
553392,22112,CHOCOLATE HOT WATER BOTTLE,24,5/16/2011 16:44,4.25,16131.0,United Kingdom
539451,90173,PAIR BUTTERFLY HAIR CLIPS,1,12/17/2010 16:59,3.81,,United Kingdom
557013,82494L,WOODEN FRAME ANTIQUE WHITE ,10,6/16/2011 12:05,2.95,15044.0,United Kingdom
538844,22197,SMALL POPCORN HOLDER,10,12/14/2010 13:19,0.85,14680.0,United Kingdom
549328,51008,,-110,4/8/2011 10:49,0.0,,United Kingdom
567907,23154,SET OF 4 JAM JAR MAGNETS,24,9/22/2011 16:48,2.08,18172.0,United Kingdom
